country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,year,oil
United States,OILPROD,TOT,KTOE,A,1993,348942.928
United States,OILPROD,TOT,KTOE,A,1994,339510.195
United States,OILPROD,TOT,KTOE,A,1995,334314.908
United States,OILPROD,TOT,KTOE,A,1996,330369.878
United States,OILPROD,TOT,KTOE,A,1997,328807.572
United States,OILPROD,TOT,KTOE,A,1998,318626.75
United States,OILPROD,TOT,KTOE,A,1999,299750.952
United States,OILPROD,TOT,KTOE,A,2000,297512.886
United States,OILPROD,TOT,KTOE,A,2001,295670.563
United States,OILPROD,TOT,KTOE,A,2002,292823.901
United States,OILPROD,TOT,KTOE,A,2003,289518.467
United States,OILPROD,TOT,KTOE,A,2004,276931.156
United States,OILPROD,TOT,KTOE,A,2005,263918.138
United States,OILPROD,TOT,KTOE,A,2006,260029.939
United States,OILPROD,TOT,KTOE,A,2007,258101.855
United States,OILPROD,TOT,KTOE,A,2008,252986.129
United States,OILPROD,TOT,KTOE,A,2009,273202.08
United States,OILPROD,TOT,KTOE,A,2010,279225.018
United States,OILPROD,TOT,KTOE,A,2011,287590.382
United States,OILPROD,TOT,KTOE,A,2012,332009.679
United States,OILPROD,TOT,KTOE,A,2013,380518.664
United States,OILPROD,TOT,KTOE,A,2014,446109.689
United States,OILPROD,TOT,KTOE,A,2015,472634.851
United States,OILPROD,TOT,KTOE,A,2016,446538.263
United States,OILPROD,TOT,KTOE,A,2017,470360.949
Russia,OILPROD,TOT,KTOE,A,1993,345568.468
Russia,OILPROD,TOT,KTOE,A,1994,310441.991
Russia,OILPROD,TOT,KTOE,A,1995,298256.465
Russia,OILPROD,TOT,KTOE,A,1996,298289.63
Russia,OILPROD,TOT,KTOE,A,1997,296576.119
Russia,OILPROD,TOT,KTOE,A,1998,293614.407
Russia,OILPROD,TOT,KTOE,A,1999,294692.764
Russia,OILPROD,TOT,KTOE,A,2000,312820.807
Russia,OILPROD,TOT,KTOE,A,2001,336378.822
Russia,OILPROD,TOT,KTOE,A,2002,366407.979
Russia,OILPROD,TOT,KTOE,A,2003,406862.922
Russia,OILPROD,TOT,KTOE,A,2004,442282.856
Russia,OILPROD,TOT,KTOE,A,2005,451419.237
Russia,OILPROD,TOT,KTOE,A,2006,460041.063
Russia,OILPROD,TOT,KTOE,A,2007,470511.068
Russia,OILPROD,TOT,KTOE,A,2008,471813.538
Russia,OILPROD,TOT,KTOE,A,2009,479088.674
Russia,OILPROD,TOT,KTOE,A,2010,487106.499
Russia,OILPROD,TOT,KTOE,A,2011,494392.69
Russia,OILPROD,TOT,KTOE,A,2012,499908.086
Russia,OILPROD,TOT,KTOE,A,2013,499966.375
Russia,OILPROD,TOT,KTOE,A,2014,505603.375
Russia,OILPROD,TOT,KTOE,A,2015,512777.007
Russia,OILPROD,TOT,KTOE,A,2016,524319.338
Russia,OILPROD,TOT,KTOE,A,2017,525084.137
China,OILPROD,TOT,KTOE,A,1993,145174
China,OILPROD,TOT,KTOE,A,1994,146082
China,OILPROD,TOT,KTOE,A,1995,150044
China,OILPROD,TOT,KTOE,A,1996,157334
China,OILPROD,TOT,KTOE,A,1997,160741
China,OILPROD,TOT,KTOE,A,1998,161000
China,OILPROD,TOT,KTOE,A,1999,160000
China,OILPROD,TOT,KTOE,A,2000,163000
China,OILPROD,TOT,KTOE,A,2001,163959
China,OILPROD,TOT,KTOE,A,2002,167000
China,OILPROD,TOT,KTOE,A,2003,169600
China,OILPROD,TOT,KTOE,A,2004,175873
China,OILPROD,TOT,KTOE,A,2005,181353
China,OILPROD,TOT,KTOE,A,2006,184766
China,OILPROD,TOT,KTOE,A,2007,186318
China,OILPROD,TOT,KTOE,A,2008,190440
China,OILPROD,TOT,KTOE,A,2009,189490
China,OILPROD,TOT,KTOE,A,2010,203014
China,OILPROD,TOT,KTOE,A,2011,202876
China,OILPROD,TOT,KTOE,A,2012,207478
China,OILPROD,TOT,KTOE,A,2013,209919
China,OILPROD,TOT,KTOE,A,2014,211429
China,OILPROD,TOT,KTOE,A,2015,214556
China,OILPROD,TOT,KTOE,A,2016,199685
China,OILPROD,TOT,KTOE,A,2017,191506
Saudi Arabia,OILPROD,TOT,KTOE,A,1993,418877.583
Saudi Arabia,OILPROD,TOT,KTOE,A,1994,405567.948
Saudi Arabia,OILPROD,TOT,KTOE,A,1995,406253.75
Saudi Arabia,OILPROD,TOT,KTOE,A,1996,408880.117
Saudi Arabia,OILPROD,TOT,KTOE,A,1997,403204.726
Saudi Arabia,OILPROD,TOT,KTOE,A,1998,416223.784
Saudi Arabia,OILPROD,TOT,KTOE,A,1999,380992.875
Saudi Arabia,OILPROD,TOT,KTOE,A,2000,410059.696
Saudi Arabia,OILPROD,TOT,KTOE,A,2001,396345.692
Saudi Arabia,OILPROD,TOT,KTOE,A,2002,359198.602
Saudi Arabia,OILPROD,TOT,KTOE,A,2003,425900.193
Saudi Arabia,OILPROD,TOT,KTOE,A,2004,451782.862
Saudi Arabia,OILPROD,TOT,KTOE,A,2005,473654.351
Saudi Arabia,OILPROD,TOT,KTOE,A,2006,466295.444
Saudi Arabia,OILPROD,TOT,KTOE,A,2007,446437.671
Saudi Arabia,OILPROD,TOT,KTOE,A,2008,467050.334
Saudi Arabia,OILPROD,TOT,KTOE,A,2009,414457.971
Saudi Arabia,OILPROD,TOT,KTOE,A,2010,413504.961
Saudi Arabia,OILPROD,TOT,KTOE,A,2011,471514.649
Saudi Arabia,OILPROD,TOT,KTOE,A,2012,495777.809
Saudi Arabia,OILPROD,TOT,KTOE,A,2013,488038.917
Saudi Arabia,OILPROD,TOT,KTOE,A,2014,491857.055
Saudi Arabia,OILPROD,TOT,KTOE,A,2015,516156.791
Saudi Arabia,OILPROD,TOT,KTOE,A,2016,531161.119
Saudi Arabia,OILPROD,TOT,KTOE,A,2017,507805.249
Canada,OILPROD,TOT,KTOE,A,1993,74872.28
Canada,OILPROD,TOT,KTOE,A,1994,77323.088
Canada,OILPROD,TOT,KTOE,A,1995,79944.573
Canada,OILPROD,TOT,KTOE,A,1996,81793.41
Canada,OILPROD,TOT,KTOE,A,1997,86451.784
Canada,OILPROD,TOT,KTOE,A,1998,91123.445
Canada,OILPROD,TOT,KTOE,A,1999,84443.512
Canada,OILPROD,TOT,KTOE,A,2000,89873.513
Canada,OILPROD,TOT,KTOE,A,2001,90223.044
Canada,OILPROD,TOT,KTOE,A,2002,93116.387
Canada,OILPROD,TOT,KTOE,A,2003,101441.775
Canada,OILPROD,TOT,KTOE,A,2004,104830.799
Canada,OILPROD,TOT,KTOE,A,2005,106808.41
Canada,OILPROD,TOT,KTOE,A,2006,115490.484
Canada,OILPROD,TOT,KTOE,A,2007,109452.38
Canada,OILPROD,TOT,KTOE,A,2008,110046.175
Canada,OILPROD,TOT,KTOE,A,2009,103680.002
Canada,OILPROD,TOT,KTOE,A,2010,110424.323
Canada,OILPROD,TOT,KTOE,A,2011,117003.076
Canada,OILPROD,TOT,KTOE,A,2012,127611.66
Canada,OILPROD,TOT,KTOE,A,2013,138333.688
Canada,OILPROD,TOT,KTOE,A,2014,152695.136
Canada,OILPROD,TOT,KTOE,A,2015,158024.979
